SUBJECT_DESC,CAMPUS_DESC,STUDENT_CAMPUS_DESC,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,MEETING_TYPE_DESC,CRN,Professor,Subject,Course,Section,Title,Credits,Building,Room,Sub Academic Term,Days,Time,Class Status TBA,Max Enrollment,Actual Enrolled,Course Text Narrative
"King, Matthew L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,25415,"King, Matthew L.",ARTS,B364,B01,Digital Photography III,3,SAND,111,20 - Beaufort Full Term,M W    ,12:30 PM - 3:00 PM,,2,2,
"Kingsbury, Sean",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20097,"Kingsbury, Sean",COMM,B140,001,Public Communication,3,SCITEC,222,20 - Beaufort Full Term,M W F  ,8:30 AM - 9:20 AM,,25,23,
"Kingsbury, Sean",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20187,"Kingsbury, Sean",COMM,B140,005,Public Communication,3,SCITEC,222,20 - Beaufort Full Term,M W F  ,10:30 AM - 11:20 AM,,25,25,
"Kingsbury, Sean",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20221,"Kingsbury, Sean",COMM,B140,007,Public Communication,3,HARG,274,20 - Beaufort Full Term,M W    ,4:45 PM - 6:00 PM,,25,20,
"Kingsbury, Sean",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20223,"Kingsbury, Sean",COMM,B140,008,Public Communication,3,LIBR2,243,20 - Beaufort Full Term,M W    ,3:20 PM - 4:35 PM,,25,24,
"Kingsbury, Sean",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20225,"Kingsbury, Sean",COMM,B140,009,Public Communication,3,LIBR2,243,20 - Beaufort Full Term, T Th   ,1:40 PM - 2:55 PM,,25,22,
"Kingsbury, Sean",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20118,"Kingsbury, Sean",COMM,B190,001,Intro to Communications Studie,3,LIBR2,267,20 - Beaufort Full Term, T Th   ,4:30 PM - 5:45 PM,,35,33,
"Kramer, Maria G.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,25200,"Kramer, Maria G.",HRTM,B110,002,Intro to Hospitality Industry,3,LIBR2,267,20 - Beaufort Full Term, T Th   ,8:00 AM - 9:15 AM,,50,28,
"Kramer, Maria G.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19605,"Kramer, Maria G.",HRTM,B110,PW0,Intro to Hospitality Industry,3,2WEB,1,20 - Beaufort Full Term,       ,,TBA,50,8,
"Kratky, Rena L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19747,"Kratky, Rena L.",SPAN,B101,001,Beginning Spanish I,3,HARG,271,20 - Beaufort Full Term,M W    ,1:55 PM - 3:10 PM,,25,24,
"Kratky, Rena L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19756,"Kratky, Rena L.",SPAN,B101,006,Beginning Spanish I,3,HARG,274,20 - Beaufort Full Term, T Th   ,12:15 PM - 1:30 PM,,25,26,
"Kratky, Rena L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19757,"Kratky, Rena L.",SPAN,B101,008,Beginning Spanish I,3,HARG,274,20 - Beaufort Full Term, T Th   ,10:50 AM - 12:05 PM,,25,26,
"Kratky, Rena L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,22599,"Kratky, Rena L.",SPAN,B101,012,Beginning Spanish I,3,HARG,278,20 - Beaufort Full Term,M W F  ,11:30 AM - 12:20 PM,,25,25,
"Kratky, Rena L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19742,"Kratky, Rena L.",SPAN,B102,001,Beginning Spanish II,3,HARG,270,20 - Beaufort Full Term,M W    ,3:20 PM - 4:35 PM,,25,24,
"Kratky, Rena L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19743,"Kratky, Rena L.",SPAN,B102,002,Beginning Spanish II,3,HARG,270,20 - Beaufort Full Term,M W F  ,10:30 AM - 11:20 AM,,25,24,
"Krebs, Salome L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18981,"Krebs, Salome L.",BIOL,B200,001,Plant Science,3,SCITEC,122,20 - Beaufort Full Term,M      ,6:15 PM - 9:15 PM,,24,15,
"Krebs, Salome L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18982,"Krebs, Salome L.",BIOL,B200L,001,Plant Science Laboratory,1,SCITEC,118,20 - Beaufort Full Term,  W    ,6:15 PM - 8:05 PM,,24,12,
